,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_deg,param_k,param_kernel,param_s,param_gamma,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,dataset
35,43.16623902320862,0.0,0.00790095329284668,0.0,,50,rbf,10,3,"{'gamma': 3, 'k': 50, 'kernel': 'rbf', 's': 10}",-10.360757166268753,-10.360757166268753,0.0,19,tortuga100k_noise_white_1.00e-02
36,62.87289595603943,0.0,0.007935762405395508,0.0,,50,rbf,0,3,"{'gamma': 3, 'k': 50, 'kernel': 'rbf', 's': 0}",-14.917633903358759,-14.917633903358759,0.0,27,tortuga100k_noise_white_1.00e-02
37,54.814672231674194,0.0,0.00794219970703125,0.0,,100,rbf,,3,"{'gamma': 3, 'k': 100, 'kernel': 'rbf', 's': None}",-7.787612397906066,-7.787612397906066,0.0,6,tortuga100k_noise_white_1.00e-02
38,53.42719769477844,0.0,0.006648540496826172,0.0,,100,rbf,10,3,"{'gamma': 3, 'k': 100, 'kernel': 'rbf', 's': 10}",-7.787612397906066,-7.787612397906066,0.0,6,tortuga100k_noise_white_1.00e-02
39,131.07373452186584,0.0,0.0044956207275390625,0.0,,100,rbf,0,3,"{'gamma': 3, 'k': 100, 'kernel': 'rbf', 's': 0}",-15.435639196281524,-15.435639196281524,0.0,31,tortuga100k_noise_white_1.00e-02
40,36.49862766265869,0.0,0.0067501068115234375,0.0,,30,rbf,,10,"{'gamma': 10, 'k': 30, 'kernel': 'rbf', 's': None}",-17.47081122269959,-17.47081122269959,0.0,43,tortuga100k_noise_white_1.00e-02
41,38.47532534599304,0.0,0.006755828857421875,0.0,,30,rbf,10,10,"{'gamma': 10, 'k': 30, 'kernel': 'rbf', 's': 10}",-17.47081122269959,-17.47081122269959,0.0,43,tortuga100k_noise_white_1.00e-02
42,39.50408625602722,0.0,0.0067327022552490234,0.0,,30,rbf,0,10,"{'gamma': 10, 'k': 30, 'kernel': 'rbf', 's': 0}",-17.47081122269959,-17.47081122269959,0.0,43,tortuga100k_noise_white_1.00e-02
43,42.58934044837952,0.0,0.006855964660644531,0.0,,50,rbf,,10,"{'gamma': 10, 'k': 50, 'kernel': 'rbf', 's': None}",-10.360765623191954,-10.360765623191954,0.0,23,tortuga100k_noise_white_1.00e-02
44,42.473782539367676,0.0,0.007737636566162109,0.0,,50,rbf,10,10,"{'gamma': 10, 'k': 50, 'kernel': 'rbf', 's': 10}",-10.360765623191954,-10.360765623191954,0.0,23,tortuga100k_noise_white_1.00e-02
